,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasAdditionalAttributions,latitude,longitude,city,state,price,homeType,rentZestimate
28,RecentChange,True,Sold,8.0,2.0,3923.0,RecentChange,False,True,42.286255,-71.15623,West Roxbury,MA,1100000.0,MULTI_FAMILY,6399.0
29,RecentChange,True,Sold,2.0,3.0,1187.0,RecentChange,True,True,42.36502,-71.05402,Boston,MA,1550000.0,CONDO,
30,RecentChange,True,Sold,4.0,4.0,2936.0,RecentChange,False,True,42.3149,-71.11656,Jamaica Plain,MA,2000000.0,CONDO,
31,Non Owner Occupied,True,Sold,2.0,2.0,896.0,Unknown Listed By,False,True,42.31041,-71.0588,Dorchester,MA,580000.0,CONDO,2900.0
32,RecentChange,True,Sold,6.0,10.0,3604.0,RecentChange,False,True,42.344803,-71.08057,Boston,MA,3900000.0,MULTI_FAMILY,2199.0
33,RecentChange,True,Sold,0.0,1.0,225.0,Unknown Listed By,False,True,42.338524,-71.15089,Brighton,MA,212000.0,CONDO,1867.0
34,RecentChange,True,Sold,4.0,1.0,1356.0,RecentChange,False,True,42.289955,-71.05218,Dorchester,MA,690000.0,SINGLE_FAMILY,4200.0
35,RecentChange,True,Sold,4.0,4.0,2848.0,RecentChange,True,True,42.294632,-71.13895,West Roxbury,MA,1425000.0,SINGLE_FAMILY,3858.0
36,RecentChange,True,Sold,4.0,2.0,1271.0,RecentChange,False,True,42.276833,-71.117165,Roslindale,MA,565000.0,SINGLE_FAMILY,2400.0
37,RecentChange,True,Sold,3.0,2.0,1472.0,RecentChange,False,True,42.295948,-71.14715,West Roxbury,MA,877000.0,SINGLE_FAMILY,4400.0
38,RecentChange,True,Sold,6.0,3.0,2809.0,RecentChange,False,True,42.287262,-71.16056,West Roxbury,MA,1595000.0,SINGLE_FAMILY,5400.0
39,RecentChange,True,Sold,3.0,2.0,1503.0,RecentChange,False,True,42.30884,-71.115944,Jamaica Plain,MA,1100000.0,CONDO,
40,RecentChange,True,Sold,2.0,1.0,963.0,RecentChange,False,True,42.299988,-71.081604,Dorchester,MA,450000.0,CONDO,2896.0
41,RecentChange,True,Sold,4.0,4.0,2712.0,RecentChange,False,True,42.311768,-71.111916,Jamaica Plain,MA,1450000.0,TOWNHOUSE,6399.0
42,Non Owner Occupied,True,Sold,12.0,6.0,5442.0,Unknown Listed By,False,True,42.280945,-71.07172,Dorchester Center,MA,1815000.0,APARTMENT,2800.0
43,RecentChange,True,Sold,10.0,7.0,3875.0,RecentChange,True,True,42.320683,-71.10514,Jamaica Plain,MA,1900000.0,MULTI_FAMILY,6544.0
44,RecentChange,True,Sold,3.0,2.0,1280.0,RecentChange,True,True,42.29036,-71.11735,Jamaica Plain,MA,800000.0,SINGLE_FAMILY,3399.0
45,RecentChange,True,Sold,9.0,3.0,4245.0,Unknown Listed By,False,True,42.282475,-71.089386,Mattapan,MA,1015000.0,MULTI_FAMILY,6163.0
46,RecentChange,True,Sold,1.0,1.0,811.0,RecentChange,False,True,42.37635,-71.05911,Charlestown,MA,777500.0,CONDO,2999.0
47,Non Owner Occupied,True,Sold,1.0,1.0,561.0,Unknown Listed By,False,True,42.380104,-71.061966,Charlestown,MA,528000.0,CONDO,2650.0
48,RecentChange,True,Sold,6.0,3.0,2899.0,RecentChange,False,True,42.288734,-71.11548,Roslindale,MA,901000.0,MULTI_FAMILY,8970.0
49,RecentChange,True,Sold,9.0,3.0,2295.0,RecentChange,False,True,42.29296,-71.07942,Dorchester Center,MA,550000.0,TOWNHOUSE,
50,RecentChange,True,Sold,2.0,1.0,823.0,RecentChange,True,True,42.34633,-71.170494,Brighton,MA,535000.0,CONDO,2995.0
51,RecentChange,True,Sold,9.0,6.0,3612.0,RecentChange,False,True,42.30187,-71.06757,Dorchester,MA,1186000.0,MULTI_FAMILY,8970.0
52,RecentChange,True,Sold,3.0,2.0,1238.0,RecentChange,False,True,42.26985,-71.10129,Boston,MA,550000.0,SINGLE_FAMILY,3200.0
