,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasVideo,hasAdditionalAttributions,latitude,longitude,variableData.text,streetAddress,zipcode,city,state,homeType,rentZestimate,price,homeStatusForHDP
97,RecentChange,True,Sold,4.0,3.0,1877.0,Unknown Listed By,False,False,True,42.32378,-71.05885,Sold 02/15/2024,44 Dorset St #2,2125.0,Dorchester,MA,TOWNHOUSE,,1105000.0,RECENTLY_SOLD
98,RecentChange,True,Sold,3.0,2.0,1154.0,RecentChange,False,False,True,42.3803,-71.06564,Sold 02/14/2024,288 Bunker Hill St #1,2129.0,Charlestown,MA,CONDO,3849.0,950000.0,RECENTLY_SOLD
99,RecentChange,True,Sold,3.0,2.0,1314.0,Unknown Listed By,False,False,True,42.32507,-71.09584,Sold 02/14/2024,31 Beech Glen St #1,2119.0,Roxbury,MA,CONDO,2214.0,750000.0,RECENTLY_SOLD
100,RecentChange,True,Sold,3.0,3.0,1830.0,Unknown Listed By,False,False,True,42.331577,-71.054924,Sold 02/14/2024,35 Tuckerman St #A,2127.0,South Boston,MA,TOWNHOUSE,4950.0,1085000.0,RECENTLY_SOLD
101,RecentChange,True,Sold,5.0,6.0,3200.0,Unknown Listed By,False,False,True,42.344242,-71.06903,Sold 02/14/2024,32 Dwight St,2118.0,Boston,MA,MULTI_FAMILY,,3080000.0,RECENTLY_SOLD
102,RecentChange,True,Sold,,0.0,,RecentChange,False,False,True,42.323105,-71.07022,Sold 02/14/2024,Burrell St,2119.0,Roxbury,MA,LOT,,120000.0,RECENTLY_SOLD
103,RecentChange,True,Sold,4.0,2.0,1262.0,Unknown Listed By,False,False,True,42.26908,-71.13104,Sold 02/13/2024,96 Deforest St,2136.0,Hyde Park,MA,SINGLE_FAMILY,4414.0,440000.0,RECENTLY_SOLD
104,Non Owner Occupied,True,Sold,2.0,1.0,1500.0,Unknown Listed By,False,False,False,42.345173,-71.042984,Sold 02/13/2024,437 D St APT 6A,2210.0,Boston,MA,CONDO,3599.0,1105000.0,RECENTLY_SOLD
105,RecentChange,True,Sold,1.0,1.0,836.0,Unknown Listed By,False,False,False,42.316463,-71.111664,Sold 02/13/2024,36 Robinwood Ave #7,2130.0,Jamaica Plain,MA,CONDO,2850.0,570000.0,RECENTLY_SOLD
106,RecentChange,True,Sold,1.0,1.0,635.0,Unknown Listed By,False,False,True,42.360977,-71.14407,Sold 02/12/2024,26 Waverly St APT 403,2135.0,Brighton,MA,CONDO,2625.0,415000.0,RECENTLY_SOLD
107,RecentChange,True,Sold,6.0,3.0,3456.0,Unknown Listed By,False,False,True,42.296593,-71.07105,Sold 02/12/2024,92 Claybourne St,2124.0,Dorchester,MA,SINGLE_FAMILY,6399.0,805000.0,RECENTLY_SOLD
108,RecentChange,True,Sold,6.0,2.0,2356.0,Unknown Listed By,False,False,True,42.381824,-71.03731,Sold 02/12/2024,57 Falcon St,2128.0,East Boston,MA,MULTI_FAMILY,4200.0,745000.0,RECENTLY_SOLD
109,RecentChange,True,Sold,6.0,3.0,2640.0,Unknown Listed By,False,False,True,42.282837,-71.1153,Sold 02/12/2024,94 Mount Hope St,2131.0,Roslindale,MA,MULTI_FAMILY,5500.0,920000.0,RECENTLY_SOLD
110,RecentChange,True,Sold,2.0,1.0,969.0,Unknown Listed By,False,False,True,42.279697,-71.11435,Sold 02/12/2024,18 Manning St,2131.0,Roslindale,MA,SINGLE_FAMILY,2450.0,430000.0,RECENTLY_SOLD
111,RecentChange,True,Sold,6.0,5.0,3807.0,Unknown Listed By,False,False,True,42.376778,-71.05839,Sold 02/12/2024,24-26 Ferrin St,2129.0,Charlestown,MA,MULTI_FAMILY,,2200000.0,RECENTLY_SOLD
112,RecentChange,True,Sold,1.0,1.0,1088.0,Unknown Listed By,False,False,True,42.37065,-71.034065,Sold 02/09/2024,67 Frankfort St APT 101,2128.0,East Boston,MA,CONDO,2800.0,460000.0,RECENTLY_SOLD
113,Non Owner Occupied,False,Sold,4.0,2.0,1746.0,Unknown Listed By,False,False,False,42.380684,-71.038155,Sold 02/09/2024,42 White St,2128.0,East Boston,MA,MULTI_FAMILY,4250.0,430000.0,RECENTLY_SOLD
